Time resolution is 1 ps
Time = 0ns | Reset = 0 | State = xxxx
Time = 10ns | Reset = 1 | State = 0001
Time = 20ns | Reset = 0 | State = 0001
Time = 25ns | Reset = 0 | State = 0010
Time = 35ns | Reset = 0 | State = 0100
Time = 45ns | Reset = 0 | State = 1000
Time = 55ns | Reset = 0 | State = 0001
Time = 65ns | Reset = 0 | State = 0010
Time = 75ns | Reset = 0 | State = 0100
Time = 85ns | Reset = 0 | State = 1000
Time = 95ns | Reset = 0 | State = 0001
Time = 105ns | Reset = 0 | State = 0010
Time = 115ns | Reset = 0 | State = 0100
Time = 125ns | Reset = 0 | State = 1000
Time = 135ns | Reset = 0 | State = 0001
Time = 145ns | Reset = 0 | State = 0010
Time = 155ns | Reset = 0 | State = 0100
Time = 165ns | Reset = 0 | State = 1000
Time = 170ns | Reset = 1 | State = 0001
Time = 180ns | Reset = 0 | State = 0001
Time = 185ns | Reset = 0 | State = 0010
Time = 195ns | Reset = 0 | State = 0100
Time = 205ns | Reset = 0 | State = 1000
Time = 215ns | Reset = 0 | State = 0001
Time = 225ns | Reset = 0 | State = 0010
Time = 235ns | Reset = 0 | State = 0100
Time = 245ns | Reset = 0 | State = 1000
Time = 255ns | Reset = 0 | State = 0001
Time = 265ns | Reset = 0 | State = 0010
Time = 275ns | Reset = 0 | State = 0100
Time = 285ns | Reset = 0 | State = 1000
Time = 295ns | Reset = 0 | State = 0001
Time = 305ns | Reset = 0 | State = 0010
Time = 315ns | Reset = 0 | State = 0100
Time = 325ns | Reset = 0 | State = 1000
Time = 335ns | Reset = 0 | State = 0001
Time = 345ns | Reset = 0 | State = 0010
Time = 355ns | Reset = 0 | State = 0100
Time = 365ns | Reset = 0 | State = 1000
Time = 375ns | Reset = 0 | State = 0001
Time = 385ns | Reset = 0 | State = 0010
Time = 395ns | Reset = 0 | State = 0100
$finish called at time : 400 ns : File "C:/Users/ASUS/Documents/FPGA_mini_projects/FSM_traffic_light_controllers/FSM_traffic_light_controller.srcs/sim_1/new/tb.v" Line 31
